Company,Record_ID,CVE_ID,Is_Synthetic,Vulnerability_Title,Vulnerability_Description,CWE_ID,MITRE_ATTACK_Technique,Affected_Product,Affected_Version,Asset_ID,Asset_Hostname,Asset_Type,Department,Environment,Asset_Criticality,Internet_Exposed,Detection_Source,First_Detected,Last_Observed,CVSS_Base_Score,Severity,Exploit_Maturity,Known_Exploited,Patch_Available,Compensating_Control,Patch_Window,Remediation_Status,Assigned_Team,SLA_Days,Target_Remediation_Date,Business_Impact,Recommended_Action,Data_Source
BluePeak Technologies (Fictional),VULN-0001,CVE-2099-10001,TRUE,Remote code execution in print service,A crafted remote print request could execute code with SYSTEM privileges on the print server.,CWE-787,T1210 - Exploitation of Remote Services,Windows Print Service,Windows Server 2019 build 17763.6054,PRINT-SRV-01,print-srv-01.bluepeak.local,Server,IT Operations,Production,High,No,Vulnerability Scanner,2026-08-20,2026-09-04,9.8,Critical,Active exploitation,Yes,Yes,,Sun 01:00-05:00,In Progress,Infrastructure Engineering,7,2026-08-27,Full server compromise and lateral movement into the corporate network.,"Apply the emergency update, disable the print service where unnecessary, and verify RPC access controls.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0002,CVE-2099-10002,TRUE,Authentication bypass in remote access gateway,Improper session validation could allow an unauthenticated attacker to enter the remote access portal.,CWE-287,T1133 - External Remote Services,NetSecure VPN Gateway,12.4.7,VPN-GW-01,vpn-gw-01.bluepeak.example,Network Appliance,IT Operations,Production,Critical,Yes,Vendor Advisory Review,2026-08-22,2026-09-04,10.0,Critical,Active exploitation,Yes,Yes,,,Mitigated,Network Security,7,2026-08-29,Unauthorized remote access to internal systems and user sessions.,"Install the vendor hotfix, invalidate active sessions, rotate gateway secrets, and review remote access logs.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0003,CVE-2099-10003,TRUE,SQL injection in customer portal search,Unsanitized search parameters could allow database queries to be altered by a remote user.,CWE-89,T1190 - Exploit Public-Facing Application,BluePeak Customer Portal,5.8.2,WEB-APP-CP-01,customer.bluepeak.example,Web Application,Customer Operations,Production,Critical,Yes,Web Application Scanner,2026-08-24,2026-09-04,9.8,Critical,Functional exploit,No,Yes,WAF rule blocks common injection patterns,,Open,Application Security,7,2026-08-31,Exposure or alteration of customer records and service disruption.,"Upgrade to version 5.8.4, parameterize database queries, rotate the application database credential, and retest.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0004,CVE-2099-10004,TRUE,Unsafe deserialization in API gateway,A serialized request object could trigger arbitrary code execution in the gateway service.,CWE-502,T1190 - Exploit Public-Facing Application,BluePeak Java API Gateway,4.2.0,API-GW-01,api.bluepeak.example,Application Gateway,Engineering,Production,Critical,Yes,Penetration Test,2026-08-26,2026-09-04,9.8,Critical,Public proof of concept,No,Yes,,Sun 01:00-05:00,In Progress,Platform Engineering,7,2026-09-02,Compromise of production APIs and access to backend services.,"Upgrade the gateway, disable native object deserialization, and restrict accepted content types.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0005,CVE-2099-10005,TRUE,Command injection in backup administration console,A privileged console parameter could be used to run operating system commands on the backup server.,CWE-78,T1059 - Command and Scripting Interpreter,BackupMaster Console,11.3.0,BAK-SRV-01,bak-srv-01.bluepeak.local,Server,IT Operations,Production,Critical,No,Vendor Advisory Review,2026-08-28,2026-09-04,9.6,Critical,Active exploitation,Yes,No,Console isolated on backup administration VLAN,Sun 01:00-05:00,Scheduled,Infrastructure Engineering,7,2026-09-04,Deletion or encryption of backups and loss of recovery capability.,"Disable external console access, apply the vendor mitigation, monitor command execution, and patch when released.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0006,CVE-2099-10006,TRUE,Remote code execution in firewall management service,A malformed management request could corrupt memory and execute code on the edge firewall.,CWE-787,T1190 - Exploit Public-Facing Application,EdgeShield Firewall OS,9.7.1,FW-EDGE-01,fw-edge-01.bluepeak.example,Firewall,IT Operations,Production,Critical,Yes,External Attack Surface Scan,2026-08-30,2026-09-04,9.8,Critical,Active exploitation,Yes,Yes,,,Closed,Network Security,7,2026-09-06,"Loss of perimeter control, traffic interception, and internal network exposure.","Upgrade to version 9.7.3, rotate administrator credentials, and validate the running configuration.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0007,CVE-2099-10007,TRUE,Unauthenticated container host API execution,The container management API accepts crafted calls that can create privileged workloads.,CWE-306,T1611 - Escape to Host,ContainerControl Engine,24.0.6,DOCKER-HOST-01,docker-host-01.bluepeak.local,Container Host,Engineering,Production,High,No,Configuration Audit,2026-09-01,2026-09-04,9.8,Critical,Functional exploit,No,Yes,,Second Saturday monthly 23:00-03:00,In Progress,Cloud Platform,7,2026-09-08,Host takeover and compromise of production containers.,"Upgrade the engine, require mutual TLS, remove privileged API access, and audit recently created containers.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0008,CVE-2099-10008,TRUE,Remote code execution in storage appliance web interface,A request parsing flaw could allow code execution through the storage management interface.,CWE-20,T1210 - Exploitation of Remote Services,StoreVault NAS OS,7.2.1,NAS-01,nas-01.bluepeak.local,Storage Appliance,IT Operations,Production,Critical,No,Vulnerability Scanner,2026-08-21,2026-09-04,9.8,Critical,Public proof of concept,No,Yes,,,Mitigated,Infrastructure Engineering,7,2026-08-28,"Unauthorized access to shared files, backups, and archived records.","Upgrade to version 7.2.3, restrict management access, and review administrator account activity.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0009,CVE-2099-10009,TRUE,SMB authentication bypass in file service,A negotiation flaw could allow a remote attacker to access file services without completing authentication.,CWE-287,T1210 - Exploitation of Remote Services,Windows SMB Service,Windows Server 2022 build 20348.2527,FILE-SRV-01,file-srv-01.bluepeak.local,Server,IT Operations,Production,Critical,No,Vulnerability Scanner,2026-08-05,2026-09-04,8.8,High,Functional exploit,No,Yes,SMB access segmented by department,,In Progress,Infrastructure Engineering,14,2026-08-19,Unauthorized access to shared files and potential lateral movement.,"Apply the cumulative update, require SMB signing, and review anomalous share access.","Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
BluePeak Technologies (Fictional),VULN-0010,CVE-2099-10010,TRUE,Local privilege escalation in endpoint management agent,A low-privileged user could manipulate an agent service file and gain SYSTEM privileges.,CWE-269,T1068 - Exploitation for Privilege Escalation,SecureDesk Endpoint Agent,6.4.1,FIN-WS-014,fin-ws-014.bluepeak.local,Workstation,Finance,Production,High,No,EDR Detection,2026-08-08,2026-09-04,8.8,High,Public proof of concept,No,Yes,,,Scheduled,Endpoint Engineering,14,2026-08-22,Administrative compromise of a finance workstation and access to financial data.,Deploy agent version 6.4.3 and verify service directory permissions across managed endpoints.,"Synthetic internal training record; not an NVD, CISA, or vendor CVE entry."
