Asset ID,Hostname,Asset Role,Environment,Asset Criticality (1-5),Data Classification,Internet Facing,Business Unit,Asset Owner,Patch Window,Patch Restrictions,Compensating Controls,Operating System,OS Build,Finding ID,CVE ID,Scanner Severity,Affected Product,Product Version,Port,Service,First Detected,Evidence
AST-002,web-portal-01,Web Server,Production,4,Regulated,Yes,Customer Platform,M. Webb,Sat 23:00-03:00,No reboot during business hours 08:00-18:00,,Ubuntu 22.04 LTS,22.04.4,F-0001,CVE-2021-44228,critical,Apache Log4j,2.14.1,443,https,2026-08-14,log4j-core-2.14.1.jar on public customer portal
AST-003,sql-fin-01,SQL Server,Production,5,Regulated,No,Finance Systems,D. Kowalski,Sun 01:00-05:00,No patching during month-end close (last 3 business days),,Windows Server 2022,10.0.20348,F-0002,CVE-2021-44228,critical,Apache Log4j,2.14.1,1433,ms-sql,2026-08-14,log4j-core-2.14.1.jar in SQL agent job runner
AST-004,dev-sandbox-07,Sandbox Host,Development,1,Public,No,Engineering,S. Ortega,Anytime,,,Ubuntu 24.04 LTS,24.04.1,F-0003,CVE-2021-44228,critical,Apache Log4j,2.14.1,8080,http-alt,2026-08-14,log4j-core-2.14.1.jar in isolated lab build agent
AST-001,dc01.corp.local,Domain Controller,Production,5,Regulated,No,Identity Services,P. Raman,Sun 02:00-06:00,Reboot only with change-board approval,,Windows Server 2019,10.0.17763,F-0004,CVE-2020-1472,critical,Windows Netlogon,10.0.17763,445,smb,2026-07-02,Netlogon secure channel signing not enforced
AST-001,dc01.corp.local,Domain Controller,Production,5,Regulated,No,Identity Services,P. Raman,Sun 02:00-06:00,Reboot only with change-board approval,,Windows Server 2019,10.0.17763,F-0005,CVE-2021-34527,high,Windows Print Spooler,10.0.17763,135,msrpc,2026-07-02,Print Spooler service running on domain controller
AST-006,exch-mbx-01,Mailbox Server,Production,4,Confidential,Yes,Corporate IT,M. Webb,Sun 03:00-07:00,Patch only after Exchange CU compatibility check,,Windows Server 2019,10.0.17763,F-0006,CVE-2021-26855,critical,Microsoft Exchange Server,15.2.858.5,443,https,2026-06-19,"OWA endpoint reachable from internet, unpatched CU"
AST-002,web-portal-01,Web Server,Production,4,Regulated,Yes,Customer Platform,M. Webb,Sat 23:00-03:00,No reboot during business hours 08:00-18:00,,Ubuntu 22.04 LTS,22.04.4,F-0007,CVE-2014-0160,high,OpenSSL,1.0.1f,443,https,2026-08-14,TLS heartbeat extension enabled on legacy vhost
AST-005,vpn-gw-01,VPN Gateway,Production,4,Internal,Yes,Network Operations,P. Raman,,Vendor-certified firmware only; outage needs customer notice,Management interface restricted to jump host; vendor IPS signature for CVE-2022-42475 enabled,FortiOS 7.2,7.2.2,F-0008,CVE-2022-42475,critical,FortiOS SSL-VPN,7.2.2,10443,https,2026-08-01,"SSL-VPN portal exposed, pre-auth heap overflow"
AST-007,wks-hr-114,Workstation,Production,2,Confidential,No,Human Resources,IT Helpdesk,,,,Windows 11 23H2,10.0.22631,F-0009,CVE-2017-0144,high,Windows SMBv1,10.0.22621,445,smb,2026-08-20,SMBv1 client feature still installed
AST-003,sql-fin-01,SQL Server,Production,5,Regulated,No,Finance Systems,D. Kowalski,Sun 01:00-05:00,No patching during month-end close (last 3 business days),,Windows Server 2022,10.0.20348,F-0010,CVE-2019-0708,critical,Windows Remote Desktop Services,10.0.20348,3389,rdp,2026-07-02,RDP enabled without Network Level Authentication
AST-002,web-portal-01,Web Server,Production,4,Regulated,Yes,Customer Platform,M. Webb,Sat 23:00-03:00,No reboot during business hours 08:00-18:00,,Ubuntu 22.04 LTS,22.04.4,F-0011,CVE-2022-22965,high,Spring Framework,5.3.17,8443,https,2026-08-14,spring-beans 5.3.17 on JDK 17 with Tomcat
AST-008,print-fl2-03,Network Printer,Production,1,Public,No,Facilities,Facilities Team,Quarterly,Firmware updates need facilities sign-off,,Printer Firmware 4.1,4.1.2,F-0012,CVE-2023-4863,medium,libwebp,1.2.4,80,http,2026-05-30,Embedded web UI bundles vulnerable libwebp
AST-009,stage-api-02,Web Server,Staging,2,Internal,No,Customer Platform,M. Webb,Anytime,,,Ubuntu 22.04 LTS,22.04.4,F-0013,CVE-2022-22965,high,Spring Framework,5.3.17,8443,https,2026-08-18,spring-beans 5.3.17 in staging API tier
AST-010,k8s-cp-01,Kubernetes Cluster,Production,4,Internal,No,Platform Engineering,S. Ortega,Sun 04:00-08:00,Rolling upgrade only; one control-plane node at a time,Admission controller blocks symlink-abuse pod specs,Talos Linux 1.7,1.7.2,F-0014,CVE-2021-25741,high,Kubernetes kubelet,1.22.1,10250,kubelet,2026-07-25,Subpath volume mount host path traversal
